kepid,kepoi_name,kepler_name,ra,dec
4247991,K02311.02,,287.24118,39.33276
10026544,K02312.01,,297.28317,46.90453
9473078,K02079.01,Kepler-1087 b,294.97882,46.00565
10864531,K02080.01,Kepler-358 c,293.23022,48.281368
10864531,K02080.02,Kepler-358 b,293.23022,48.281368
2853780,K02081.01,,291.72916,38.070019
9472000,K02082.01,Kepler-1790 b,294.56693,46.075802
10253547,K02153.01,Kepler-364 c,281.56995,47.398689
10253547,K02153.02,Kepler-364 b,281.56995,47.398689
12505076,K02154.01,Kepler-1799 b,288.30869,51.478291
6185476,K00227.01,,284.35202,41.519199
12116380,K02155.01,Kepler-1123 b,294.51767,50.670399
2556650,K02156.01,Kepler-1124 b,286.59427,37.891258
10600955,K02227.01,Kepler-1151 b,292.2478,47.878448
10801100,K02228.01,,293.41794,48.198849
4473226,K02229.01,Kepler-1682 b,293.98358,39.57288
8914779,K02230.01,,300.77875,45.110222
2854181,K02232.01,Kepler-1810 b,291.81302,38.088181
8963721,K02233.01,,295.47537,45.239979
10132832,K02313.01,Kepler-1186 b,288.47964,47.101768
3219995,K02314.01,Kepler-1187 b,286.892,38.31855
6062929,K02315.01,Kepler-1822 b,297.28549,41.305592
7504778,K02316.01,Kepler-1188 b,283.10385,43.148041
7219825,K00238.02,Kepler-123 c,296.99863,42.78196
7097965,K02083.01,Kepler-1791 b,284.49033,42.648289
4249725,K00222.01,Kepler-120 b,287.89163,39.33913
3967326,K02084.01,Kepler-1792 b,294.84003,39.085991
6768394,K02086.01,Kepler-60 b,288.96124,42.265011
6768394,K02086.02,Kepler-60 c,288.96124,42.265011
5211199,K02158.01,Kepler-1800 b,297.65143,40.352551
8804455,K02159.01,,285.13831,45.004539
8804455,K02159.02,,285.13831,45.004539
5546761,K02160.01,Kepler-1125 b,295.48123,40.731979
5546761,K02160.02,,295.48123,40.731979
9205938,K02162.01,Kepler-1126 b,285.69199,45.689388
10723367,K02236.01,Kepler-375 c,288.61792,48.098412
10723367,K02236.02,Kepler-375 b,288.61792,48.098412
5005121,K02237.01,Kepler-1811 b,289.97934,40.14283
4833421,K00232.05,Kepler-122 f,291.11188,39.949108
8229458,K02238.01,Kepler-1152 b,290.43402,44.107651
10684670,K02317.01,Kepler-1189 b,298.42633,47.946781
11495458,K02318.01,Kepler-1190 b,284.99963,49.47998
9003401,K02319.01,Kepler-1823 b,283.75482,45.335178
5978559,K02321.01,Kepler-1824 b,296.70724,41.203651
8872048,K02323.01,,286.07202,45.136711
7746958,K02324.01,,289.67786,43.458134
6768394,K02086.03,Kepler-60 d,288.96124,42.265011
6922710,K02087.01,Kepler-1088 b,281.56146,42.4505
